datetimeFrom_utc,datetimeFrom_local,datetimeTo_utc,datetimeTo_local,co µg/m³,pm25 µg/m³,no2 µg/m³,pm10 µg/m³
2024-01-29T06:00:00Z,2024-01-29T13:00:00+07:00,2024-01-29T07:00:00Z,2024-01-29T14:00:00+07:00,631.0,43.4,8.7,59.4
2024-01-29T07:00:00Z,2024-01-29T14:00:00+07:00,2024-01-29T08:00:00Z,2024-01-29T15:00:00+07:00,642.0,42.9,11.2,56.5
2024-01-29T21:00:00Z,2024-01-30T04:00:00+07:00,2024-01-29T22:00:00Z,2024-01-30T05:00:00+07:00,934.0,82.8,15.7,90.9
2024-01-29T22:00:00Z,2024-01-30T05:00:00+07:00,2024-01-29T23:00:00Z,2024-01-30T06:00:00+07:00,1010.0,76.4,15.5,84.0
2024-01-29T23:00:00Z,2024-01-30T06:00:00+07:00,2024-01-30T00:00:00Z,2024-01-30T07:00:00+07:00,868.0,70.4,14.4,77.4
2024-01-30T00:00:00Z,2024-01-30T07:00:00+07:00,2024-01-30T01:00:00Z,2024-01-30T08:00:00+07:00,897.0,74.0,13.0,81.4
2024-01-30T01:00:00Z,2024-01-30T08:00:00+07:00,2024-01-30T02:00:00Z,2024-01-30T09:00:00+07:00,971.0,74.5,13.5,81.9
2024-01-30T02:00:00Z,2024-01-30T09:00:00+07:00,2024-01-30T03:00:00Z,2024-01-30T10:00:00+07:00,915.0,64.7,13.5,71.2
2024-01-30T03:00:00Z,2024-01-30T10:00:00+07:00,2024-01-30T04:00:00Z,2024-01-30T11:00:00+07:00,895.0,66.9,14.5,73.7
2024-01-30T04:00:00Z,2024-01-30T11:00:00+07:00,2024-01-30T05:00:00Z,2024-01-30T12:00:00+07:00,958.0,72.1,14.4,79.3
2024-01-30T05:00:00Z,2024-01-30T12:00:00+07:00,2024-01-30T06:00:00Z,2024-01-30T13:00:00+07:00,1000.0,70.9,19.2,33.3
2024-01-30T06:00:00Z,2024-01-30T13:00:00+07:00,2024-01-30T07:00:00Z,2024-01-30T14:00:00+07:00,972.0,76.4,17.1,70.7
2024-01-30T07:00:00Z,2024-01-30T14:00:00+07:00,2024-01-30T08:00:00Z,2024-01-30T15:00:00+07:00,958.0,75.2,15.9,82.7
2024-01-30T08:00:00Z,2024-01-30T15:00:00+07:00,2024-01-30T09:00:00Z,2024-01-30T16:00:00+07:00,1110.0,81.4,19.9,89.4
2024-01-30T09:00:00Z,2024-01-30T16:00:00+07:00,2024-01-30T10:00:00Z,2024-01-30T17:00:00+07:00,1180.0,85.8,21.9,94.3
